year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2012.0,2.231,46.77,10.11,6.7,10.35,24.23,16.53,7.21,2.525,1.489,1.325,0.57,3.107,16.855,60.26,4.63,12.743,2.958,2.842,0.5,1.51,0.78,0.255
2011.0,0.696,35.89,17.38,11.83,5.87,23.05,13.04,1.12,2.055,0.497,2.965,0.748,6.931,4.552,53.79,4.06,12.366,2.851,4.475,0.5,1.15,37.93,0.203
2014.0,0.753,7.03,7.03,5.13,9.74,36.45,19.76,-4.0,6.041,1.95,3.677,0.786,4.47,14.617,54.08,2.66,19.809,9.026,1.458,0.5,3.2,-8.49,0.25
2021.0,0.973,29.63,9.22,9.22,1.62,4.07,5.96,-2.23,1.173,0.306,1.122,0.529,4.019,3.572,2361.77,6.64,13.42,0.502,2.575,0.11,8.68,64.08,0.21
2011.0,1.077,72.07,28.6,19.21,12.63,59.6,25.27,-3.54,1.694,0.667,3.654,0.785,3.288,10.527,67.83,4.58,14.125,8.417,4.475,0.5,1.15,37.93,0.347
2013.0,1.035,-49.12,-49.12,-48.36,-0.74,-8.8,-2.35,-9.69,0.212,0.017,16.241,0.951,-132.009,-0.684,0.0,1.07,-7.271,0.636,2.567,0.5,1.79,-2.68,-0.295
2012.0,0.648,5.43,3.89,2.68,5.04,9.52,7.64,5.65,10.971,1.807,1.192,0.544,5.223,5.636,50.31,5.0,10.847,1.014,2.842,0.5,1.51,0.78,-0.009
2012.0,1.425,-3.78,-3.78,-5.94,-2.55,20.73,-2.37,-15.85,2.546,0.441,1.051,0.512,3.688,-2.633,-101.95,2.82,10.482,1.911,2.842,0.5,1.51,0.78,-0.583
2003.0,3.129,7.7,7.7,6.64,7.17,9.42,7.67,12.95,1.773,1.042,0.415,0.293,2.459,14.0,35.35,2.55,12.992,1.273,1.34,3.69,3.15,10.76,0.17
2013.0,0.497,33.8,10.59,10.59,5.58,9.9,3.55,8.42,2.675,0.242,0.729,0.422,5.744,6.014,661.69,7.77,24.629,0.941,2.567,0.5,1.79,-2.68,0.694
2014.0,0.955,7.5,2.26,1.06,1.55,31.96,4.09,8.06,4.26,1.448,3.126,0.758,7.235,1.845,258.81,4.81,14.239,2.797,1.458,0.5,3.2,-8.49,0.147
2021.0,0.93,17.21,9.6,4.98,1.99,21.34,6.74,6.65,0.835,0.459,5.85,0.854,11.931,6.038,58.43,2.3,15.39,3.369,2.575,0.11,8.68,64.08,0.12
2009.0,1.174,34.92,1.87,2.09,2.13,5.71,0.14,10.79,2.787,0.98,1.132,0.531,7.885,1.64,59.89,3.81,12.119,0.684,2.183,0.64,-4.62,-36.39,0.109
2015.0,1.077,81.2,16.74,11.43,4.76,9.95,11.81,-0.07,1.489,0.397,2.245,0.692,5.961,8.339,125.56,3.91,26.402,4.646,0.042,0.5,2.22,-46.1,0.243
2022.0,1.993,42.63,19.38,14.65,17.51,66.98,25.94,30.88,1.922,1.162,2.942,0.746,3.002,10.367,20.72,3.57,14.271,9.559,9.05,1.47,4.35,39.61,0.59
2014.0,2.22,45.86,8.33,5.62,8.49,19.47,14.83,3.04,2.638,1.543,1.265,0.559,3.405,14.147,72.09,4.13,17.177,3.415,1.458,0.5,3.2,-8.49,0.289
